mean_response_time,time
5.2356906,5235.6904
4.273212,9508.796
3.6649199,13173.586
3.2953186,16468.79
3.4262192,19895.453
3.1875198,23083.441
3.2645185,26348.422
3.1721203,29521.012
2.9026196,32424.129
2.7101188,35134.766
2.77172,37906.996
2.8641183,40771.617
2.8641198,43636.24
2.502218,46138.996
2.6408212,48780.34
2.5946178,51375.49
2.733217,54109.223
2.5099177,56619.68
2.6870189,59307.22
2.4637177,61771.48
2.3636172,64135.652
2.5176177,66652.59
2.440617,69090.94
2.5022182,71590.91
2.5484188,74137.09
2.1788175,76313.53
2.3328161,78644.03
2.201918,80843.58
2.3251197,83166.375
2.456017,85620.125
2.379018,87996.84
2.0787144,90073.14
2.2635162,92334.31
2.0633156,94395.2
2.2404168,96633.266
2.2250156,98855.92
2.2404149,101093.984
2.1942167,103285.83
2.1018171,105385.234
2.0171156,107399.91
2.1942143,109591.75
1.9786168,111567.91
1.9632146,113528.66
2.1326165,115658.875
2.132615,117789.09
2.0017166,119788.36
1.9709153,121756.81
2.0787148,123833.11
1.6937121,125524.25
1.9632137,127485
2.047915,129530.484
2.0556161,131583.67
2.0017166,133582.94
1.8708093,135451.25
1.8785132,137327.27
2.0094175,139334.23
2.0402157,141372.02
1.8554159,143224.92
1.8785163,145100.94
1.8939158,146992.36
1.8939146,148883.78
1.8015132,150682.77
1.9170122,152597.3
1.770709,154365.47
1.8785113,156241.48
2.0325134,158271.56
1.8092158,160078.25
1.9247147,162000.48
1.8939109,163891.9
1.9709114,165860.36
1.6244131,167482.17
1.8477117,169327.38
1.9170164,171241.9
1.7784145,173017.78
1.8477134,174862.98
1.8862172,176746.7
1.8939172,178638.12
1.693713,180329.27
1.6167078,181943.38
1.8477145,183788.58
1.8092133,185595.27
1.7322106,187324.92
1.6937151,189016.06
1.6475129,190660.98
1.6090105,192267.39
1.5782102,193842.98
1.7245154,195564.94
1.6706109,197232.97
1.7168137,198947.22
1.6013099,200545.92
1.4550059,201998.27
1.7707115,203766.44
1.7168108,205480.69
1.7245123,207202.64
1.6167111,208816.75
1.6860116,210500.19
1.5782098,212075.78
1.6706121,213743.81
1.5628108,215304
1.5474122,216848.78
1.7245104,218570.73
1.6706126,220238.77
1.6937109,221929.9
1.6783102,223605.64
1.7553117,225358.4
1.4935088,226849.27
1.6629117,228509.6
1.7861123,230293.17
1.732212,232022.83
1.578211,233598.42
1.6090107,235204.83
1.60131,236803.53
1.6244107,238425.34
1.6090077,240031.75
1.5628098,241591.94
1.6090137,243198.34
1.6321096,244827.86
1.5397117,246364.94
1.4781091,247840.39
1.5474114,249385.17
1.4165046,250799
1.4858106,252282.16
1.5320107,253811.53
1.6706128,255479.56
1.5782063,257055.16
1.5243084,258576.83
1.6321106,260206.34
1.4858049,261689.5
1.4396074,263136.03
1.4858049,264632.4
1.5551074,266197.97
1.5243081,267732.78
1.4858074,269229.16
1.4319049,270671.72
1.3703066,272052.78
1.4935079,273556.84
1.7476118,275314.6
1.3626024,276687.97
1.4011084,278099.78
1.547408,279657.66
1.3934021,281061.78
1.4396068,282512.03
1.3549078,283877.72
1.5320076,285420.22
1.2240012,286655.22
1.5397097,288205.4
1.5551089,289770.97
1.2933049,291075.16
1.4396067,292525.4
1.3857044,293921.84
1.3318083,295264.47
1.424206,296699.34
1.4781078,298188.03
1.362607,299561.4
1.5320115,301103.9
1.4242063,302538.78
1.4935076,304042.84
1.4165069,305470.03
1.4473066,306927.97
1.4165063,308355.16
1.2855994,309651.66
1.4165066,311078.84
1.4011028,312490.66
1.5551099,314056.22
1.2856033,315352.72
1.4088086,316772.22
1.5012107,318283.97
1.3857075,319680.4
1.3780049,321069.16
1.4396044,322519.4
1.3241055,323854.34
1.4473088,325312.28
1.2702043,326593.4
1.354907,327959.1
1.5089066,329478.53
1.4627056,330951.84
1.5782083,332540.47
1.3318033,333883.1
1.3934067,335287.22
1.3010037,336599.1
1.4935102,338103.16
1.3857054,339499.6
1.3549007,340865.28
1.3780042,342254.03
1.2702028,343535.16
1.3241056,344870.1
1.3857054,346266.53
1.4396048,347716.78
1.2548025,348982.53
1.277905,350271.34
1.385705,351667.78
1.3780075,353056.53
1.4165059,354483.72
1.1931984,355687.97
1.3549026,357053.66
1.2162998,358280.97
1.4242063,359715.84
1.2240009,360950.84
1.3164043,362278.1
1.2008985,363490.03
1.1854995,364686.6
1.4088056,366106.1
1.393404,367510.22
1.3395034,368860.53
1.3087014,370180.1
1.3087052,371499.66
1.2240027,372734.66
1.3318022,374077.28
1.3087008,375396.84
1.4088039,376816.34
1.3010013,378128.22
1.224001,379363.22
1.2702028,380644.34
1.3010032,381956.22
1.2701993,383237.34
1.2394004,384487.72
1.4858061,385984.1
1.3010032,387295.97
1.2933054,388600.16
1.1700969,389781.34
1.1777996,390970.22
1.3164048,392297.47
1.2240016,393532.47
1.3087057,394852.03
1.3780062,396240.78
1.4319042,397683.34
1.4627072,399156.66
1.5243086,400691.47
1.2779009,401980.28
1.3472035,403338.28
1.2933003,404642.47
1.4858088,406138.84
1.5705094,407719.78
1.4088081,409139.28
1.455005,410604.9
1.4011075,412016.72
1.5474074,413574.6
1.3703052,414955.66
1.339506,416305.97
1.485807,417802.34
1.3241047,419137.28
