mean_response_time,time
4.989291,4989.291
4.2578125,9246.996
3.6572168,12904.086
3.5032191,16407.172
3.4262183,19833.836
3.3492181,23183.508
3.2722185,26456.188
3.12592,29582.582
2.8795178,32462.602
2.8641193,35327.223
2.7486181,38076.355
2.610021,40686.902
2.8025186,43489.93
2.7717195,46262.16
2.7640195,49026.69
2.5099192,51537.15
2.494518,54032.207
2.540716,56573.46
2.4868193,59060.82
2.5484207,61609.773
2.2404168,63850.758
2.6485195,66498.84
2.3405154,68837.05
2.47142,71306.2
2.3020148,73605.89
2.3328178,75936.39
2.2943182,78228.375
2.2635164,80489.55
2.3559177,82843.16
2.194214,85035
2.1788182,87211.44
2.3020163,89511.125
2.140317,91649.05
1.9940174,93640.61
2.309719,95948
2.1403117,98085.92
2.078717,100162.22
2.047916,102207.7
2.132616,104337.92
2.1172152,106452.734
2.0787144,108529.03
2.0094156,110536
2.0017154,112535.266
1.9863142,114519.125
2.1942155,116710.97
2.178816,118887.41
2.0017152,120886.67
1.9324138,122816.61
1.9863137,124800.47
1.9401144,126738.11
1.9555098,128691.16
2.0017169,130690.42
1.9786139,132666.58
1.9170139,134581.11
2.0171134,136595.78
1.8323146,138425.58
2.0864148,140509.58
1.7553116,142262.34
1.7938111,144053.62
1.7245134,145775.58
1.9709153,147744.03
1.8554143,149596.94
1.886213,151480.66
1.747611,153225.72
2.0171156,155240.39
1.7784107,157016.27
1.9016143,158915.39
1.8785125,160791.4
1.8015124,162590.39
1.8246143,164412.48
1.7476138,166157.55
1.655211,167810.17
1.678311,169485.9
1.9093127,171392.73
1.8400147,173230.23
1.855414,175083.14
1.6860132,176766.58
1.7091082,178473.12
1.7168099,180187.38
1.8015139,181986.36
1.7168099,183700.61
1.7322129,185430.27
1.6552125,187082.89
1.832313,188912.69
1.7245138,190634.64
1.6937101,192325.78
1.6860101,194009.22
1.6167116,195623.33
1.7245111,197345.28
1.4242077,198766.81
1.6860119,200450.25
1.793815,202241.53
1.5243071,203763.2
1.6706126,205431.23
1.5782102,207006.83
1.6398114,208644.05
1.6629121,210304.38
1.5859104,211887.67
1.6090086,213494.08
1.5243117,215015.75
1.778413,216791.62
1.62441,218413.44
1.6013116,220012.14
1.7553145,221764.9
1.6860105,223448.34
1.4935083,224939.2
1.8015141,226738.19
1.6552117,228390.81
1.4550087,229843.16
1.5936141,231434.16
1.7553139,233186.92
1.639812,234824.14
1.5628093,236384.33
1.709112,238090.88
1.5551089,239643.36
1.6552098,241295.98
1.624409,242917.8
1.7091131,244624.34
1.6398115,246261.56
1.47041,247729.31
1.5859077,249312.61
1.6475083,250957.53
1.6475103,252602.45
1.3703051,253970.06
1.5166045,255484.03
1.431903,256913.27
1.3934053,258303.98
1.5320083,259833.36
1.5859087,261416.66
1.5936099,263015.3
1.4550091,264480.94
1.4473064,265938.88
1.4319055,267381.44
1.4550079,268847.06
1.5474092,270404.94
1.5243069,271939.75
1.4704065,273420.75
1.4319088,274863.3
1.2933037,276167.5
1.4627062,277640.8
1.6629093,279314
1.4396083,280764.25
1.5012093,282276
1.5243093,283810.8
1.4627092,285284.12
1.5320072,286826.62
1.5705075,288407.56
1.362605,289780.94
1.4396094,291231.2
1.3857051,292627.62
1.4088063,294047.12
1.5320092,295589.62
1.3626049,296963
1.3472027,298321
1.393405,299725.12
1.3934058,301129.25
1.2702037,302410.38
1.4858077,303906.75
1.4858074,305403.12
1.4627088,306876.44
1.4242063,308311.3
1.2548006,309577.06
1.4858079,311073.44
1.5474052,312631.3
1.3549047,313997
1.2933015,315301.2
1.3703061,316682.25
1.3780038,318071
1.462709,319544.3
1.4088038,320963.8
1.4165051,322391
1.2933023,323695.2
1.4165058,325122.38
1.3010037,326434.25
1.4473068,327892.2
1.3395029,329242.5
1.3857044,330638.94
1.2779016,331927.75
1.3857061,333324.2
1.408806,334743.7
1.4396052,336193.94
1.2548027,337459.7
1.4011058,338871.5
1.2702008,340152.62
1.2856028,341449.12
1.2856026,342745.62
1.4088066,344165.12
1.4396067,345615.38
1.3010008,346927.25
1.416506,348354.44
1.2393994,349604.8
1.3626037,350978.2
1.408806,352397.7
1.4858086,353894.06
1.3857085,355290.5
1.2548015,356556.25
1.4550049,358021.88
1.4473081,359479.8
1.354903,360845.5
1.2933028,362149.7
1.3934063,363553.8
1.4781045,365042.5
1.3087059,366362.06
1.2240027,367597.06
1.3164023,368924.3
1.3780046,370313.06
1.2239997,371548.06
1.2162981,372775.38
1.2933042,374079.56
1.3164043,375406.8
1.2625011,376680.25
1.3318067,378022.88
1.185498,379219.44
1.2085994,380439.06
1.3241037,381774
1.2702031,383055.12
1.1777989,384244
1.162396,385417.5
1.2240012,386652.5
1.2548015,387918.25
1.2548032,389184
1.3395066,390534.3
1.2779043,391823.12
1.1777985,393012
1.3703042,394393.06
1.3395039,395743.38
1.2086014,396963
1.3087057,398282.56
1.5166087,399809.7
1.393409,401213.8
1.462709,402687.12
1.4396061,404137.38
1.3010044,405449.25
1.4473078,406907.2
1.4011054,408319
1.5705082,409899.94
1.2702054,411181.06
1.9016079,413092.56
1.9786158,415080.94
2.140316,417230.75
2.0017152,419242.2
2.0325158,421284.38
1.9940169,423288.12
1.8862116,425184.25
1.7322141,426926.62
1.8708135,428807.38
1.8169144,430634.3
1.7168132,432361.3
1.8862133,434257.44
1.6629072,435930.62
1.5936106,437534.62
1.7707142,439315.44
1.7322143,441057.8
1.801513,442869.38
1.6629136,444542.56
1.6013135,446154.25
1.662914,447827.44
1.4165051,449254.62
1.6706108,450935.5
1.5551075,452501.06
1.6398146,454151.2
1.4473088,455609.12
1.4165041,457036.3
1.6937126,458740.25
1.4704075,460221.25
1.5397078,461771.44
1.5628093,463344.7
1.53201,464887.2
1.5628098,466460.44
1.5705072,468041.38
1.4319087,469483.94
1.4242034,470918.8
1.4011065,472330.62
1.5012065,473842.38
1.5397094,475392.56
1.4704074,476873.56
1.5243113,478408.38
1.6321094,480050.8
1.5936083,481654.8
1.4088037,483074.3
1.3395026,484424.62
1.5089039,485944.06
1.4550085,487409.7
1.5628073,488982.94
1.4781063,490471.62
1.6013124,492083.3
1.4550083,493548.94
1.4319059,494991.5
1.6167109,496618.56
1.5243099,498153.38
1.3549033,499519.06
1.5166098,501046.2
1.3549073,502411.88
1.7168106,504138.88
1.57051,505719.8
1.3780086,507108.56
1.4165081,508535.75
1.4396089,509986
1.3472071,511344
1.6013054,512955.7
1.3472043,514313.7
1.647511,515971.5
1.4165046,517398.7
1.4704095,518879.7
1.4396093,520329.94
1.5243081,521864.75
1.254802,523130.5
1.3241019,524465.44
1.5166065,525992.56
1.4858086,527488.94
1.2239977,528723.94
1.3087049,530043.5
1.316404,531370.75
1.4396037,532821
1.3087022,534140.56
1.1700982,535321.75
1.2471013,536579.8
1.4319072,538022.4
1.378002,539411.1
1.293301,540715.3
1.508905,542234.75
1.3395061,543585.06
1.362605,544958.44
1.2471032,546216.5
1.2702008,547497.6
1.4088067,548917.1
1.3395054,550267.44
1.3241038,551602.4
1.3164041,552929.6
1.2317011,554172.3
1.5166075,555699.44
1.3780056,557088.2
1.2394004,558338.56
1.3780066,559727.3
1.2779003,561016.1
1.331805,562358.75
1.2394023,563609.1
1.2162993,564836.44
1.3087028,566156
1.2471008,567414.06
1.4011045,568825.9
1.2009014,570037.8
1.3780056,571426.56
1.354904,572792.25
1.385707,574188.7
1.3395059,575539
1.3241048,576873.94
1.3934089,578278.06
1.1932019,579482.3
1.2394023,580732.7
1.3934053,582136.8
1.0853955,583233.44
1.1623989,584406.94
